YearMonthDayHourMinute,STN,isitu-LST,insitu-TA
2.02107E+11,90,22.125147,21.037855
2.02107E+11,93,21.730162,20.741106
2.02107E+11,95,20.27518,19.162453
2.02107E+11,98,20.271217,19.798681
2.02107E+11,99,21.75112,20.244652
2.02107E+11,100,17.536562,15.901141
2.02107E+11,101,21.590263,22.083479
2.02107E+11,102,19.185816,18.39947
2.02107E+11,104,21.592215,19.789051
2.02107E+11,105,22.415873,21.428846
2.02107E+11,106,22.078806,20.557653
2.02107E+11,108,22.535715,23.39181
2.02107E+11,112,21.454882,22.706356
2.02107E+11,114,20.99693,20.12514
2.02107E+11,115,19.901602,19.797127
2.02107E+11,119,21.44826,21.74063
2.02107E+11,121,20.784231,19.713142
2.02107E+11,127,21.427078,20.028528
2.02107E+11,129,22.321024,20.45232
2.02107E+11,130,21.714611,20.540386
2.02107E+11,131,23.105326,23.596098
2.02107E+11,133,23.048275,22.766323
2.02107E+11,135,20.451818,19.680937
2.02107E+11,136,20.350758,19.524546
2.02107E+11,137,22.345877,22.346275
2.02107E+11,138,21.675287,21.93419
2.02107E+11,140,23.146975,22.77532
2.02107E+11,143,21.661905,21.658016
2.02107E+11,146,23.768255,23.624794
2.02107E+11,152,20.499634,20.214882
2.02107E+11,155,19.945074,19.99386
2.02107E+11,156,22.229074,22.51192
2.02107E+11,159,22.172298,21.843702
2.02107E+11,162,21.597218,21.759172
2.02107E+11,165,23.135557,22.869307
2.02107E+11,168,20.54703,22.966713
2.02107E+11,169,22.669195,21.70459
2.02107E+11,170,21.218365,21.016298
2.02107E+11,172,22.13022,21.530743
2.02107E+11,174,19.787647,18.822927
2.02107E+11,177,22.572847,21.820906
2.02107E+11,184,24.350874,23.59881
2.02107E+11,185,23.905806,23.004673
2.02107E+11,188,24.022411,22.87385
2.02107E+11,189,24.071053,23.514853
2.02107E+11,192,20.92687,19.419788
2.02107E+11,201,20.902752,20.406572
2.02107E+11,202,21.857098,21.141905
2.02107E+11,203,22.369827,20.39964
2.02107E+11,211,21.423277,20.261482
2.02107E+11,212,20.464407,19.691484
2.02107E+11,216,18.780138,16.882048
2.02107E+11,217,21.166595,19.315632
2.02107E+11,221,21.46304,19.834158
2.02107E+11,226,21.687895,20.181358
2.02107E+11,232,21.315153,20.629433
2.02107E+11,235,22.07994,21.373453
2.02107E+11,236,22.840364,21.920498
2.02107E+11,238,21.982618,20.941952
2.02107E+11,239,23.122253,22.506355
2.02107E+11,243,22.899786,23.39915
2.02107E+11,244,22.497229,20.28982
2.02107E+11,245,23.093222,21.678705
2.02107E+11,247,21.976988,21.072624
2.02107E+11,248,19.99674,18.601608
2.02107E+11,251,22.93623,21.784563
2.02107E+11,252,20.620892,21.256926
2.02107E+11,253,21.567837,20.728127
2.02107E+11,254,22.489668,21.518995
2.02107E+11,255,22.019022,21.190115
2.02107E+11,257,21.80634,22.346254
2.02107E+11,258,21.581068,20.44613
2.02107E+11,259,22.050455,20.254444
2.02107E+11,260,21.744127,19.350882
2.02107E+11,261,22.124178,19.40256
2.02107E+11,262,20.70518,18.639301
2.02107E+11,263,21.94169,20.762321
2.02107E+11,264,21.76416,20.219633
2.02107E+11,266,20.762247,21.41043
2.02107E+11,271,19.72872,17.407753
2.02107E+11,272,21.984966,20.357653
2.02107E+11,273,21.955526,21.065304
2.02107E+11,276,18.8754,17.191885
2.02107E+11,277,20.729002,19.091183
2.02107E+11,278,21.300596,19.459904
2.02107E+11,279,22.073519,21.534124
2.02107E+11,281,19.764742,19.500237
2.02107E+11,283,20.276176,19.203888
2.02107E+11,284,21.84382,20.416183
2.02107E+11,285,22.913057,21.542591
2.02107E+11,288,21.733961,21.298088
2.02107E+11,289,21.259087,20.835768
2.02107E+11,294,21.780916,21.928944
2.02107E+11,295,21.014708,20.14995
2.02107E+11,676,21.787292,20.357742
2.02107E+11,702,23.180882,23.230873
2.02107E+11,970,21.048323,19.611101
2.02107E+11,972,21.200111,19.518496
2.02107E+11,973,22.493948,20.231483
2.02107E+11,974,21.959784,19.616913
2.02107E+11,977,22.843454,21.898836
2.02107E+11,978,22.33561,20.608286
2.02107E+11,980,23.856909,21.433256
2.02107E+11,90,21.659819,20.62244
2.02107E+11,93,21.23222,20.282133
2.02107E+11,95,20.305666,19.243362
2.02107E+11,98,20.231848,19.719807
2.02107E+11,99,21.639982,20.163242
2.02107E+11,100,16.812563,14.639925
2.02107E+11,101,20.69652,21.316872
2.02107E+11,102,19.399092,18.706808
2.02107E+11,104,21.364323,19.731714
2.02107E+11,105,22.169886,21.284033
2.02107E+11,106,21.693956,20.170038
2.02107E+11,108,22.001333,22.885355
2.02107E+11,112,21.030497,22.262354
2.02107E+11,114,21.016691,20.192348
2.02107E+11,115,20.124306,19.786066
2.02107E+11,119,21.074991,21.287176
2.02107E+11,121,20.198195,19.148228
2.02107E+11,127,21.657312,20.192368
2.02107E+11,129,22.322906,20.502296
2.02107E+11,130,21.297354,20.160475
2.02107E+11,131,22.877478,23.17426
2.02107E+11,133,22.862013,22.580563
2.02107E+11,135,20.474321,19.642824
2.02107E+11,136,20.276533,19.593248
2.02107E+11,137,21.96726,21.791964
2.02107E+11,138,21.36048,21.39912
2.02107E+11,140,22.703173,22.0204
2.02107E+11,143,21.413523,21.241867
2.02107E+11,146,23.231024,23.227282
2.02107E+11,152,20.256853,19.895113
2.02107E+11,155,20.134022,20.00783
2.02107E+11,156,22.206549,22.393465
2.02107E+11,159,21.99519,21.694448
2.02107E+11,162,21.753567,21.618635
2.02107E+11,165,22.716291,22.302565
2.02107E+11,168,20.906967,22.677732
2.02107E+11,169,22.224806,22.414896
2.02107E+11,170,21.544416,21.275515
2.02107E+11,172,21.85449,21.278465
2.02107E+11,174,19.408258,18.315044
